Year,Race,Race Date,Entry Time Start,Entry Time End,Expected Time Frame
2024,Tokyo,03.03.2024,01.08.2023,10.08.2023,
2024,Boston,15.04.2024,11.09.2023,15.09.2023,
2024,London,21.04.2024,22.04.2023,27.04.2023,
2024,Berlin,29.09.2024,29.09.2023,16.11.2023,
2024,Chicago,17.10.2024,17.10.2023,16.11.2023,
2024,New York,03.11.2024,28.02.2024,21.03.2024,
2025,Tokyo,02.03.2025,,,August2024
2025,Boston,21.04.2025,,,September 2024
2025,London,27.04.2025,20.04.2024,26.04.2024,
2025,Berlin,28.09.2025,,,September 2024
2025,Chicago,12.10.2025,,,October - November 2024
2025,New York,02.11.2025,,,February 2025